epsilon_beta1,epsilon_beta2,F_preparation,F_after_hold,minimum_F_hold,C_after_hold,norm_error,photonic_population_after_hold
0,-0.01,0.995837832845108,0.995845678105039,0.995837832845108,0.995834949616918,5.91193760612896e-13,0.00414359340625424
0.01,-0.01,0.99587470691628,0.995868177501944,0.995852719812091,0.995856923875484,2.26485497023532e-14,0.00412056887161608
0.02,-0.01,0.995900620319405,0.99588006232058,0.995849228486923,0.995868254095278,1.59872115546023e-14,0.0041081294541302
0.03,-0.01,0.995915871912043,0.995881635492658,0.995835427835651,0.995869242273085,1.13242748511766e-14,0.00410597128777945
0.04,-0.01,0.995920771923002,0.995873211045099,0.99581197616744,0.995860201509437,9.45910016980633e-14,0.00411377941933041
0.05,-0.01,0.995915641169126,0.995855113313516,0.995779201625281,0.995841455225729,1.29896093881143e-13,0.00413122859882033
0.06,-0.01,0.995900810238315,0.995827676132003,0.995737441564927,0.995813336357713,5.24025267623074e-14,0.00415798409367972
0.07,-0.01,0.995876618702035,0.995791242029249,0.995687041743925,0.995776186555362,1.73971947958762e-13,0.00419370249669697
0.08,-0.01,0.995843414273113,0.995746161403999,0.995628355505908,0.995730355362107,2.33590924381133e-13,0.00423803255388116
0.09,-0.01,0.995801551987005,0.995692791701279,0.995561742954917,0.99567619939483,2.88657986402541e-13,0.00429061599198989
0.1,-0.01,0.995751393371202,0.995631496582794,0.99548757012389,0.99561408151804,1.39221967287995e-13,0.00435108835243813
-0.1,0,0.994850496513338,0.99501809338034,0.994619342757326,0.995011850953453,2.43582931602759e-13,0.00497566419299922
-0.09,0,0.995010598175567,0.995160736414112,0.994804803701802,0.995154223675171,2.64566146768175e-13,0.00483275084668339
-0.08,0,0.995157545563145,0.995290514784278,0.994976776723788,0.9952837119298,2.75335310107039e-13,0.00470268236097104
-0.07,0,0.99529148451618,0.995407581124478,0.995135396892251,0.995400467499037,2.11608508493555e-13,0.00458530524987258
-0.06,0,0.995412579056028,0.995512105984896,0.995280817821662,0.99550466005877,4.81836792687318e-14,0.0044804480889567
-0.05,0,0.995521010826579,0.995604277267539,0.995413211122285,0.99559647661669,1.21902488103842e-13,0.00438792208172517
-0.04,0,0.995616978506555,0.995684299632413,0.995532765811098,0.995676120921006,1.10356168647741e-13,0.00430752165628065
-0.03,0,0.995700697166772,0.99575239386766,0.995639687692883,0.995743812833292,4.9515946898282e-14,0.00423902509802079
-0.02,0,0.995772397642339,0.995808796243987,0.995734198716006,0.995799787685791,3.26405569239796e-14,0.0041821951978479
-0.01,0,0.995832325841739,0.99585375782972,0.995816536302775,0.995844295599508,1.99840144432528e-14,0.00413677994008417
0,0,0.995880742048811,0.995887543791259,0.995880742048811,0.995877600787856,5.92192961335058e-13,0.00410251320474655
0.01,0,0.995917920204684,0.995910432673858,0.995895084230132,0.995899980840657,2.70894418008538e-14,0.00407911549296814
0.02,0,0.995944147150902,0.995922715650092,0.995892106934267,0.995911725976219,1.3988810110277e-14,0.00406629467604616
0.03,0,0.995959721888671,0.995924695766274,0.9958787950358,0.995913138291089,1.4210854715202e-14,0.0040637467585553
