xi_t,P_gg_with_CD,P_eg_with_CD,P_ge_with_CD,P_photon_with_CD,concurrence_target,concurrence_without_CD,concurrence_with_CD,bell_fidelity_without_CD,bell_fidelity_with_CD,conditional_bell_fidelity_with_CD,u1,u2,Omega_pi_over_xi,Omega_CD_over_xi
16.64,1.10144093722701e-19,0.596912309709165,0.398916766376549,0.00417092391418844,0.981271534344721,0.0151538631653721,0.975947392843564,0.502553599369059,0.985888234464639,0.990017522223644,0.571826020954573,0.694992806983828,0,0.0453390995454886
16.65,1.10144093722701e-19,0.59646981114462,0.399358308173943,0.00417188068133955,0.981445598293584,0.0151671412375677,0.976125349851231,0.502552947989589,0.985976734584897,0.990107344287077,0.572140693024556,0.694733781664157,0,0.0452318104509334
16.66,1.10144093722701e-19,0.596028285801222,0.399798887798275,0.00417282640040621,0.981618447427166,0.015180394918504,0.976302096196953,0.502552293613266,0.986064634898225,0.990196553217177,0.572454502305829,0.69447522834856,0,0.0451244178827721
16.67,1.10144093722701e-19,0.595587735574813,0.400238503283441,0.00417376114164929,0.981790086924656,0.0151936241870706,0.976477636938884,0.502551636265987,0.986151937898569,0.990285151583496,0.572767448851467,0.694217148690654,0,0.0450169226636107
16.68,1.10144093722701e-19,0.595148162347689,0.40067715267712,0.0041746849750943,0.981960521964714,0.0152068290225272,0.976651977135136,0.50255097597373,0.986238646079972,0.990373141955527,0.573079532720272,0.693959544337503,0,0.044909325617823
16.69,1.10144093722701e-19,0.594709567988591,0.401114834040791,0.00417559797052136,0.982129757725345,0.0152200094045054,0.976825121843647,0.502550312762563,0.986324761936515,0.990460526902627,0.573390753976774,0.693702416929584,0,0.0448016275715493
16.7,1.10144093722701e-19,0.594271954352705,0.401551545449743,0.0041765001974552,0.982297799383762,0.0152331653130106,0.976997076122069,0.502549646658645,0.986410287962258,0.990547308993956,0.573701112691213,0.693445768100768,0,0.044693829352698
16.71,1.10144093722701e-19,0.593835323281658,0.40198728499309,0.00417739172515548,0.982464652116254,0.0152462967284236,0.977167845027634,0.502548977688223,0.986495226651191,0.99063349079841,0.574010608939536,0.693189599478283,0,0.0445859317909434
16.72,1.10144093722701e-19,0.593399676603512,0.402422050773784,0.00417827262260714,0.982630321098053,0.0152594036315023,0.97733743361704,0.50254830587764,0.986579580497168,0.990719074884549,0.574319242803386,0.692933912682692,0,0.0444779357177281
16.73,1.10144093722701e-19,0.592965016132767,0.402855840908625,0.00417914295851094,0.982794811503206,0.0152724860033834,0.977505846946324,0.502547631253334,0.986663351993858,0.990804063820533,0.574627014370092,0.692678709327863,0,0.0443698419662614
16.74,1.10144093722701e-19,0.592531343670352,0.403288653528277,0.00418000280127419,0.982958128504438,0.0152855438255838,0.97767309007074,0.50254695384184,0.986746543634684,0.990888460174058,0.574933923732659,0.692423991020941,0,0.0442616513715195
16.75,1.10144093722701e-19,0.592098661003625,0.403720486777277,0.00418085221900165,0.983120277273023,0.015298577080002,0.977839168044637,0.502546273669791,0.98682915791277,0.990972266512282,0.575239970989764,0.692169759362323,0,0.0441533647702462
